ID,Published_Grey,if_grey_Published,Author,YearPublication,Language,Title,Journal_Unpub,Volume_Pages,GoogleScholar,CAPES,Extra,is_seabird,MicroPlastic,YearSampleStart,YearSampleEnd,MonthsSampled,Lat,Long,BrazilianRegion1,BrazilianRegion2,BrazilianState1,BrazilianState2,BrazilianState3,MainSampledEnvironment,BrazilianBiome,MainBirdGroup,StudyAim,BirdCondition,SampleSize,NumOrders,NumFamilies,NumSpecies,Interaction,IngestionTechnique,CategorizationDebris,DataAnalysis,Model,O,FO,N,FN,M,S,V,Col,Pol,Men,Obs
31,published,NA,Vega et al.,2010,en,"Levels of cadmium, mercury, and lead in Magellanic Penguins (Spheniscus magellanicus) stranded on the Brazilian coast",Archives of Environmental Contamination and Toxicology,58:460-468,0,1,NA,yes,0,2006,2007,5,-22.85,-41.98,southeast,south,RJ,RS,NA,sea,coastalMarine,coastal,humanInteractions,dead,35,1,1,1,ingestion,stomachContent,0,FO_S,0,0,1,0,0,0,1,0,0,0,0,"SampleSize = number of birds that had the stomach contents analysed, just from RJ State. We have placed Latitude and Longitude in RJ state based on Cabo Frio municipality, whereas in RS state we located in in front of Cidreira beach (ID 31a used for this purpose)."
31a,extra_latlon_pub,NA,Vega et al.,2010,NA,"Levels of cadmium, mercury, and lead in Magellanic Penguins (Spheniscus magellanicus) stranded on the Brazilian coast",Archives of Environmental Contamination and Toxicology,58:460-468,NA,NA,NA,NA,NA,NA,NA,NA,-30.17,-50.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ID 31a is only used for mapping purposes. The paper information is in the line above (ID 31). 
32,published,NA,Brandao et al.,2011,en,"Marine debris ingestion by Magellanic Penguins, Speniscus magellanicus (Aves: Sphenisciformes), from the Brazilian coastal zone",Marine Pollution Bulletin,62:2246-2249,1,NA,NA,yes,0,2008,2010,6,-22.75,-42.25,southeast,NA,RJ,NA,NA,sea,coastalMarine,coastal,plasticInteraction,dead,175,1,1,1,ingestion,stomachContent,1,FO,0,0,1,0,0,0,0,0,0,0,0,"MonthsSampled = 6, given 3 months per winter season."
33,published,NA,Scherer et al. ,2011,pt,"Ocorrencia de carcacas de aves marinhas no litoral do Rio Grande do Sul, Brasil",Revista Brasileira de Ornitologia,19:505-513,0,0,1,yes,0,1999,2010,40,-30.76,-50.52,south,NA,RS,NA,NA,sea,coastalMarine,coastal_oceanic,humanInteractions,dead,266,4,6,12,entanglement,NA,0,N,0,0,0,1,0,0,0,0,0,0,0,The authors provide in their Table 4 seabird taxa with external anthropogenic impact. We considered this information.
34,published,NA,Mariano & Targino,2012,pt,"Ingestao de plastico pelo Atoba-mascarado, Sula dactylatra Lesson, 1831, na Reserva Biologica do Atol das Rocas, RN, Brasil",Biotemas,25:285-288,1,NA,NA,yes,0,1999,2003,15,-3.86,-33.81,northeast,NA,RN,NA,NA,sea,coastalMarine,oceanic,plasticInteraction,alive,631,1,1,1,ingestion,stomachFlushing,1,FO_N,0,0,1,1,0,0,0,0,1,0,0,
35,published,NA,Silva-Costa & Bugoni,2013,en,Feeding ecology of Kelp Gulls (Larus dominicanus) in marine and limnetic environments,Aquatic Ecology,47:211-224,1,NA,NA,yes,0,2010,2011,6,-32.57,-52.5,south,NA,RS,NA,NA,freshwater_sea,coastalMarine,coastal,stomachContent_diet,alive,415,1,1,1,ingestion,pellet,0,O_FO,0,1,1,0,0,0,0,0,0,0,0,SampleSize = number of pellets analysed in total.
36,published,NA,Di Beneditto et al.,2015,en,Magellanic Penguins: stomach contents and isotopic profiles to assess the feeding demands of juveniles in a wintering area off Brazil,Journal of the Marine Biological Association of the United Kingdom,95:423-430,1,NA,NA,yes,0,2008,2008,4,-22.85,-41.98,southeast,NA,RJ,NA,NA,sea,coastalMarine,coastal,stomachContent_diet,dead,46,1,1,1,ingestion,stomachContent,1,FO,0,0,1,0,0,0,0,0,0,0,0,We have placed Latitude and Longitude in RJ state based on Cabo Frio municipality.
37,published,NA,Sazima & D'Angelo,2015,en,Handling and intake of plastic debris by Wood Storks at an urban site in south-eastern Brazil: possible causes and consequences,North-Western Journal of Zoology,11:372-374,1,NA,NA,no,0,2014,NA,2,-22.81,-47.08,southeast,NA,SP,NA,NA,freshwater,AtlanticForest,continental,plasticInteraction,alive,4,1,1,1,ingestion,observation,0,Men,0,0,0,0,0,0,0,0,0,0,1,SampleSize = number of birds observed.
38,published,NA,Sazima & D'Angelo,2015,en,Dangerous traps: Anhingas mistake anthropogenic debris for prey fish at an urban site in south-eastern Brazil,Revista Brasileira de Ornitologia,23:380-384,0,0,1,no,0,2010,2015,50,-22.81,-47.08,southeast,NA,SP,NA,NA,freshwater,AtlanticForest,continental,plasticInteraction,alive,21,1,1,1,entanglement,observation,0,Men,0,0,0,0,0,0,0,0,0,0,1,SampleSize = number of occurrences reported.
39,published,NA,Valls et al.,2015,en,New record on the occurrence of Northern Giant Petrel (Macronectes halli) and analysis of stomach contents in southern Brazil,Pan-American Journal of Aquatic Sciences,10:309-314,1,NA,NA,yes,0,2007,2014,84,-30.76,-50.52,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,stomachContent_diet,dead,2,1,1,1,ingestion,stomachContent,0,N_Col,0,0,0,1,0,0,0,0,1,0,0,
